iteration,seed,accuracy_train,accuracy_test,loss_train,loss_test,gen_error_accuracy,gen_error_loss,beta,frobenius1,frobenius2,bound,regularization,n_per_Phase
52,11683,0.75,0.504,9.189909800886667,9.241504277381242,0.246,0.0515944764945732,2.1990638854921074,20.932880530866527,2.220519992020477,46.29101020352302,3.957741655839964,[0 2 0 6]
54,11705,0.875,0.526,9.049136665841894,9.082751498117108,0.349,0.0336148322752141,2.885903001381067,21.690770164694094,2.44811889638585,62.99489295999874,2.9593239535825955,[1 1 0 6]
57,11738,0.75,0.407,7.462822728415139,7.504331151439583,0.343,0.0415084230244442,1.8664737879859856,21.970636513289005,1.1070016725763658,41.05963716856224,3.722697889103792,[0 1 0 7]
59,11760,0.75,0.45,3.2619741264729702,3.3059317718599184,0.3,0.0439576453869481,2.573259598040613,22.352068239220568,2.264375662692171,57.81206399716224,1.070295649675294,[1 1 0 6]
65,11826,0.75,0.416,3.944044632368661,3.95195478693292,0.334,0.0079101545642581,2.1357629134574863,21.66479151672349,1.5739372334967707,46.39280533709488,1.592081140037488,[0 1 1 6]
67,11848,0.75,0.52,15.802282718542184,15.819270936812837,0.2299999999999999,0.0169882182706508,2.252844786323844,22.251653205250904,1.937758232132197,50.31924266331803,6.779881690619141,[0 1 2 5]
75,11936,0.75,0.419,2.3755595943201637,2.4002863623562507,0.331,0.0247267680360874,1.7792068783904624,21.24651143473411,1.240395983246244,37.866305792977904,1.0376821879217653,[0 2 1 5]
80,11991,0.875,0.355,7.408675180094215,7.5073457430835155,0.52,0.0986705629893007,3.9526899228116448,15.772703907302992,3.013205344479439,63.47207705917271,1.762078479284175,[0 0 1 7]
82,12013,0.75,0.509,2.061198177770985,2.074149827728327,0.241,0.0129516499573418,2.0402439590410397,19.64772032387053,1.8271530557385889,40.25910595849885,0.7480647997905658,[0 1 2 5]
92,12123,0.75,0.502,0.4381820390969652,0.5762686966728424,0.248,0.1380866575758771,8.997916094255709,19.28935189697837,5.338588588425789,180.08866005054537,0.0056810131094667,[1 1 1 5]
100,12211,0.75,0.535,3.290986853405169,3.2917433225449075,0.2149999999999999,0.0007564691397385,1.335131648431023,18.627832375031343,0.2345547966602792,24.872580074701094,2.047861291875954,[1 2 2 3]
101,12222,0.875,0.322,2.002638430189857,2.027973208997726,0.5529999999999999,0.0253347788078688,1.839184434597069,21.898850306698517,1.4037537468517012,40.35868747122749,0.7980659054757242,[0 1 1 6]
102,12233,0.75,0.53,0.8743765124433616,0.8895094692847161,0.2199999999999999,0.0151329568413545,2.4656571120097874,18.867198499359425,2.378314735962122,46.88818713799979,0.1414267222998581,[1 1 1 5]
104,12255,0.875,0.427,13.644929468415778,13.687348650349248,0.448,0.0424191819334698,2.6296326753359858,21.738247568126543,2.0614335493838207,57.42005814396165,4.995571923817053,[0 0 0 8]
108,12299,0.875,0.462,8.872063263285439,8.912477414690397,0.413,0.040414151404958,2.6748315309231363,20.07050961912642,2.125536473101924,53.98544707577791,3.128264029335071,[0 0 3 5]
115,12376,0.875,0.52,0.4237995512269888,0.5593761326906732,0.355,0.1355765814636844,8.368502585923514,21.58495352638993,4.557644136766178,184.6165147202731,0.0072396451374909,[0 2 1 5]
117,12398,0.75,0.452,7.495760238474362,7.528744767450145,0.298,0.032984528975783,2.789341320226196,20.83700909672705,1.7627810551314365,58.32914514283065,2.5034459892919165,[0 0 1 7]
123,12464,0.875,0.362,6.552846285427139,6.571789787302426,0.513,0.0189435018752863,1.0783730150749573,15.609197797058632,0.3621647782282646,16.837067839599012,5.575234332652775,[0 0 1 7]
129,12530,0.875,0.493,10.189356088681723,10.224300453835198,0.382,0.0349443651534731,2.434341253593747,21.601749453226127,1.2448309796716728,52.67327136128132,3.973765241335277,[0 0 1 7]
